date,rate
2016-09-01,0.27422
2016-10-01,0.28385
2016-11-01,0.27713
2016-12-01,0.28179
2017-01-01,0.29388
2017-02-01,0.30212
2017-03-01,0.29915
2017-04-01,0.29718
2017-05-01,0.28247
2017-06-01,0.27072
2017-07-01,0.27076
2017-08-01,0.26881
2017-09-01,0.26757
2017-10-01,0.26657
2017-11-01,0.26122
2017-12-01,0.25652
2018-01-01,0.25524
2018-02-01,0.24942
2018-03-01,0.24769
2018-04-01,0.23959
2018-05-01,0.23334
2018-06-01,0.22687
2018-07-01,0.22354
2018-08-01,0.22124
2018-09-01,0.20859
2018-10-01,0.23063
